Date,High_MKC,Low_MKC,Open_MKC,Close_MKC,Volume_MKC
2021-08-19,87.58999633789062,86.20999908447266,86.20999908447266,87.4800033569336,830600
2021-08-20,87.91999816894531,86.80999755859375,87.19999694824219,87.55999755859375,1002000
2021-08-23,87.5,86.43000030517578,87.4000015258789,86.7300033569336,979100
2021-08-24,86.73999786376953,85.52999877929688,86.73999786376953,85.87999725341797,1036300
2021-08-25,85.88999938964844,84.91999816894531,85.66000366210938,85.55999755859375,766300
2021-08-26,85.5,84.30999755859375,85.30999755859375,84.93000030517578,659400
2021-08-27,85.66999816894531,84.63999938964844,84.93000030517578,85.22000122070312,532100
2021-08-30,85.83999633789062,84.87999725341797,85.12000274658203,85.44999694824219,397500
2021-08-31,86.37999725341797,85.01000213623047,85.58000183105469,86.29000091552734,1019200
2021-09-01,87.62000274658203,86.37999725341797,86.51000213623047,87.4000015258789,964800
2021-09-02,88.06999969482422,87.33000183105469,87.3499984741211,88.04000091552734,822100
2021-09-03,88.4000015258789,87.54000091552734,88.0,88.08000183105469,517600
2021-09-07,87.98999786376953,86.54000091552734,87.98999786376953,86.97000122070312,778000
2021-09-08,88.51000213623047,87.0999984741211,87.0999984741211,88.3499984741211,946300
2021-09-09,88.33999633789062,86.73999786376953,88.29000091552734,86.76000213623047,980000
2021-09-10,86.91000366210938,85.47000122070312,86.6500015258789,85.55000305175781,1938500
2021-09-13,86.62000274658203,85.12000274658203,85.81999969482422,85.1500015258789,850800
2021-09-14,85.47000122070312,84.77999877929688,85.06999969482422,85.08000183105469,1143000
2021-09-15,85.83999633789062,84.62000274658203,84.80000305175781,85.3499984741211,1021700
2021-09-16,86.5199966430664,84.88999938964844,85.4000015258789,86.11000061035156,1180400
2021-09-17,86.80000305175781,85.76000213623047,86.18000030517578,86.2699966430664,2386700
2021-09-20,86.62999725341797,85.11000061035156,85.80999755859375,85.6500015258789,1596900
2021-09-21,86.58999633789062,85.36000061035156,85.7300033569336,85.47000122070312,1039400
2021-09-22,86.2699966430664,85.04000091552734,86.12000274658203,85.33000183105469,972600
2021-09-23,86.16000366210938,84.62999725341797,85.5199966430664,84.77999877929688,806500
2021-09-24,85.19000244140625,84.3499984741211,84.62999725341797,84.55000305175781,850100
2021-09-27,85.36000061035156,84.23999786376953,84.5999984741211,84.3499984741211,1255700
2021-09-28,84.54000091552734,82.72000122070312,84.23999786376953,83.26000213623047,1559900
2021-09-29,84.27999877929688,83.19999694824219,83.19999694824219,83.69000244140625,1680800
2021-09-30,83.16999816894531,80.31999969482422,81.0,81.02999877929688,2376900
2021-10-01,81.48999786376953,80.33999633789062,80.80000305175781,80.70999908447266,1432300
2021-10-04,82.04000091552734,80.48999786376953,80.69000244140625,80.69000244140625,1451700
2021-10-05,80.98999786376953,79.97000122070312,80.58999633789062,80.05000305175781,1602500
2021-10-06,80.33999633789062,79.11000061035156,79.86000061035156,80.27999877929688,1245400
2021-10-07,81.36000061035156,80.2699966430664,80.3499984741211,80.43000030517578,1679900
2021-10-08,80.62999725341797,79.12999725341797,80.4000015258789,79.30999755859375,1084100
2021-10-11,79.91000366210938,78.4000015258789,79.08000183105469,78.41999816894531,1008200
2021-10-12,78.9000015258789,77.8499984741211,78.30999755859375,78.0999984741211,1453400
2021-10-13,79.05999755859375,77.8499984741211,78.19999694824219,78.88999938964844,1092400
2021-10-14,80.29000091552734,79.04000091552734,79.12999725341797,80.26000213623047,1096300
2021-10-15,80.5,79.37999725341797,80.41999816894531,79.62999725341797,875700
